LANDMARK_ID,LANDMARK_ID,DISTANCE
L394,L08,819082
L395,L09,821136
L396,L09,82319
L397,L06,825244
L398,L07,827298
L399,L08,829352
L400,L09,831406
L401,L09,83346
L402,L06,835514
L403,L07,837568
L404,L08,839622
L405,L09,841676
L406,L09,84373
L407,L06,845784
L408,L07,847838
L409,L08,849892
L410,L09,851946
L411,L09,85400
L412,L06,856054
L413,L07,858108
L414,L08,860162
L415,L09,862216
L416,L09,86427
L417,L06,866324
L418,L07,868378
L419,L08,870432
L420,L09,872486
L421,L09,87454
L422,L06,876594
L423,L07,878648
L424,L08,880702
L425,L09,882756
L426,L09,88481
L427,L06,886864
L428,L07,888918
L429,L08,890972
L430,L09,893026
L431,L09,89508
L432,L06,897134
L433,L07,899188
L434,L08,901242
L435,L09,903296
L436,L09,90535
L437,L06,907404
L438,L07,909458
L439,L08,911512
L440,L09,913566
L441,L09,91562
L442,L06,917674
L443,L07,919728
L444,L08,921782
L445,L09,923836
L446,L09,92589
L447,L06,927944
L448,L07,929998
L449,L08,932052
L450,L09,934106
L451,L09,93616
L452,L06,938214
L453,L07,940268
L454,L08,942322
L455,L09,944376
L456,L09,94643
L457,L06,948484
L458,L07,950538
L459,L08,952592
L460,L09,954646
L461,L09,95670
L462,L06,958754
L463,L07,960808
L464,L08,962862
L465,L09,964916
L466,L09,96697
L467,L06,969024
L468,L07,971078
L469,L08,973132
L470,L09,975186
L471,L09,97724
L472,L06,979294
L473,L07,981348
L474,L08,983402
L475,L09,985456
L476,L09,98751
L477,L06,989564
L478,L07,991618
L479,L08,993672
L480,L09,995726
L481,L09,99778
L482,L06,999834
L483,L07,1001888
L484,L08,1003942
L485,L09,1005996
L486,L09,100805
L487,L06,1010104
L488,L07,1012158
L489,L08,1014212
L490,L09,1016266
L491,L09,101832
L492,L06,1020374
L493,L07,1022428
L494,L08,1024482
L495,L09,1026536
L496,L09,102859
L497,L06,1030644
L498,L07,1032698
L499,L08,1034752
L500,L09,1036806
L501,L09,103886
L502,L06,1040914
L503,L07,1042968
L504,L08,1045022
L505,L09,1047076
L506,L09,104913
L507,L06,1051184
L508,L07,1053238
L509,L08,1055292
L510,L09,1057346
L511,L09,105940
L512,L06,1061454
L513,L07,1063508
L514,L08,1065562
L515,L09,1067616
L516,L09,106967
L517,L06,1071724
L518,L07,1073778
L519,L08,1075832
L520,L09,1077886
L521,L09,107994
L522,L06,1081994
L523,L07,1084048
L524,L08,1086102
L525,L09,1088156
L526,L09,109021
L527,L06,1092264
L528,L07,1094318
L529,L08,1096372
L530,L09,1098426
L531,L09,110048
L532,L09,1102534
L533,L06,1104588
L534,L07,1106642
L535,L08,1108696
L536,L09,111075
L537,L09,1112804
L538,L06,1114858
L539,L07,1116912
L540,L08,1118966
L541,L09,112102
L542,L09,1123074
L543,L06,1125128
L544,L07,1127182
L545,L08,1129236
L546,L09,113129
L547,L09,1133344
L548,L06,1135398
L549,L07,1137452
L550,L08,1139506
L551,L09,114156
L552,L09,1143614
L553,L06,1145668
L554,L07,1147722
L555,L08,1149776
L556,L09,115183
L557,L09,1153884
L558,L06,1155938
L559,L07,1157992
L560,L08,1160046
L561,L09,116210
L562,L09,1164154
L563,L06,1166208
L564,L07,1168262
L565,L08,1170316
L566,L09,117237
L567,L09,1174424
L568,L09,1176478
L569,L06,1178532
L570,L07,1180586
L571,L08,118264
L572,L09,1184694
L573,L09,1186748
L574,L06,1188802
L575,L07,1190856
L576,L08,119291
L577,L09,1194964
L578,L09,1197018
L579,L06,1199072
L580,L07,1201126
L581,L08,120318
L582,L09,1205234
L583,L09,1207288
L584,L06,1209342
L585,L07,1211396
L586,L08,121345
L587,L09,1215504
L588,L09,1217558
L589,L06,1219612
L590,L07,1221666
L591,L08,122372
L592,L09,1225774
L593,L09,1227828
L594,L06,1229882
L595,L07,1231936
L596,L08,123399
L597,L09,1236044
L598,L09,1238098
L599,L06,1240152
L600,L07,1242206
L601,L08,124426
L602,L09,1246314
L603,L09,1248368
L604,L06,1250422
L605,L07,1252476
L606,L08,125453
L607,L09,1256584
L608,L09,1258638
L609,L06,1260692
L610,L07,1262746
L611,L08,126480
L612,L09,1266854
L613,L09,1268908
L614,L06,1270962
L615,L07,1273016
L616,L08,127507
L617,L09,1277124
L618,L09,1279178
L619,L06,1281232
L620,L07,1283286
L621,L08,128534
L622,L09,1287394
L623,L09,1289448
L624,L06,1291502
L625,L07,1293556
L626,L08,129561
L627,L09,1297664
L628,L09,1299718
L629,L06,1301772
L630,L07,1303826
L631,L08,130588
L632,L09,1307934
L633,L09,1309988
L634,L06,1312042
L635,L07,1314096
L636,L08,131615
L637,L09,1318204
L638,L09,1320258
L639,L06,1322312
L640,L07,1324366
L641,L08,132642
L642,L09,1328474
L643,L09,1330528
L644,L06,1332582
L645,L07,1334636
L646,L08,133669
L647,L09,1338744
L648,L09,1340798
L649,L06,1342852
L650,L07,1344906
L651,L08,134696
L652,L09,1349014
L653,L09,1351068
L654,L06,1353122
L655,L07,1355176
L656,L08,135723
L657,L09,1359284
L658,L09,1361338
L659,L06,1363392
L660,L07,1365446
L661,L08,136750
L662,L09,1369554
L663,L09,1371608
L664,L06,1373662
L665,L07,1375716
L666,L08,137777
L667,L09,1379824
L668,L09,1381878
L669,L06,1383932
L670,L07,1385986
L671,L08,138804
L672,L09,1390094
L673,L09,1392148
L674,L06,1394202
L675,L07,1396256
L676,L08,139831
L677,L09,1400364
L678,L09,1402418
L679,L06,1404472
L680,L07,1406526
L681,L08,140858
L682,L09,1410634
L683,L09,1412688
L684,L06,1414742
L685,L07,1416796
L686,L08,141885
L687,L09,1420904
L688,L09,1422958
L689,L06,1425012
L690,L07,1427066
L691,L08,142912
L692,L09,1431174
L693,L09,1433228
L694,L06,1435282
L695,L07,1437336
L696,L08,143939
L697,L09,1441444
L698,L09,1443498
L699,L06,1445552
L700,L07,1447606
L701,L08,144966
L702,L09,1451714
L703,L09,1453768
L704,L06,1455822
L705,L07,1457876
L706,L08,145993
L707,L09,1461984
L708,L09,1464038
L709,L06,1466092
L710,L07,1468146
L711,L08,147020
L712,L09,1472254
L713,L09,1474308
L714,L06,1476362
L715,L07,1478416
L716,L08,148047
L717,L09,1482524
L718,L09,1484578
L719,L06,1486632
L720,L07,1488686
L721,L08,149074
L722,L09,1492794
L723,L09,1494848
L724,L06,1496902
L725,L07,1498956
L726,L08,150101
L727,L09,1503064
L728,L09,1505118
L729,L06,1507172
L730,L07,1509226
L731,L08,151128
L732,L09,1513334
L733,L09,1515388
L734,L06,1517442
L735,L07,1519496
L736,L08,152155
L737,L09,1523604
L738,L09,1525658
L739,L06,1527712
L740,L07,1529766
L741,L08,153182
L742,L09,1533874
L743,L09,1535928
L744,L09,1537982
L745,L06,1540036
L746,L07,154209
L747,L08,1544144
L748,L09,1546198
L749,L09,1548252
L750,L06,1550306
L751,L07,155236
L752,L08,1554414
L753,L09,1556468
L754,L09,1558522
L755,L06,1560576
L756,L07,156263
L757,L08,1564684
L758,L09,1566738
L759,L09,1568792
L760,L06,1570846
L761,L07,157290
L762,L08,1574954
L763,L09,1577008
L764,L09,1579062
L765,L06,1581116
L766,L07,158317
L767,L08,1585224
L768,L09,1587278
L769,L09,1589332
L770,L06,1591386
L771,L07,159344
L772,L08,1595494
L773,L09,1597548
L774,L09,1599602
L775,L06,1601656
L776,L07,160371
L777,L08,1605764
L778,L09,1607818
L779,L09,1609872
L780,L06,1611926
L781,L07,161398
L782,L08,1616034
L783,L09,1618088
L784,L09,1620142
L785,L06,1622196
L786,L07,162425
L787,L08,1626304
L788,L09,1628358
L789,L09,1630412
L790,L06,1632466
L791,L07,163452
L792,L08,1636574
L793,L09,1638628
L794,L09,1640682
L795,L06,1642736
L796,L07,164479
L797,L08,1646844
L798,L09,1648898
L799,L09,1650952
L800,L06,1653006
L801,L07,165506
L802,L08,1657114
L803,L09,1659168
L804,L09,1661222
L805,L06,1663276
L806,L07,166533
L807,L08,1667384
L808,L09,1669438
L809,L09,1671492
L810,L06,1673546
L811,L07,167560
L812,L08,1677654
L813,L09,1679708
L814,L09,1681762
L815,L06,1683816
L816,L07,168587
L817,L08,1687924
L818,L09,1689978
L819,L09,1692032
L820,L06,1694086
L821,L07,169614
L822,L08,1698194
L823,L09,1700248
L824,L09,1702302
L825,L06,1704356
L826,L07,170641
L827,L08,1708464
L828,L09,1710518
L829,L09,1712572
L830,L06,1714626
L831,L07,171668
L832,L08,1718734
L833,L09,1720788
L834,L09,1722842
L835,L06,1724896
L836,L07,172695
L837,L08,1729004
L838,L09,1731058
L839,L09,1733112
L840,L06,1735166
L841,L07,173722
L842,L08,1739274
L843,L09,1741328
L844,L09,1743382
L845,L06,1745436
L846,L07,174749
L847,L08,1749544
L848,L09,1751598
L849,L09,1753652
L850,L06,1755706
L851,L07,175776
L852,L08,1759814
L853,L09,1761868
L854,L09,1763922
L855,L06,1765976
L856,L07,176803
L857,L08,1770084
L858,L09,1772138
L859,L09,1774192
L860,L06,1776246
L861,L07,177830
L862,L08,1780354
L863,L09,1782408
L864,L09,1784462
L865,L06,1786516
L866,L07,178857
L867,L08,1790624
L868,L09,1792678
L869,L09,1794732
L870,L06,1796786
L871,L07,179884
L872,L08,1800894
L873,L09,1802948
L874,L09,1805002
L875,L06,1807056
L876,L07,180911
L877,L08,1811164
L878,L09,1813218
L879,L09,1815272
L880,L06,1817326
L881,L07,181938
L882,L08,1821434
L883,L09,1823488
L884,L09,1825542
L885,L06,1827596
L886,L07,182965
L887,L08,1831704
L888,L09,1833758
L889,L09,1835812
L890,L06,1837866
L891,L07,183992
L892,L08,1841974
L893,L09,1844028
L894,L09,1846082
L895,L06,1848136
L896,L07,185019
L897,L08,1852244
L898,L09,1854298
L899,L09,1856352
L900,L06,1858406
L901,L07,186046
L902,L08,1862514
L903,L09,1864568
L904,L09,1866622
L905,L06,1868676
L906,L07,187073
L907,L08,1872784
L908,L09,1874838
L909,L09,1876892
L910,L06,1878946
L911,L07,188100
L912,L08,1883054
L913,L09,1885108
L914,L09,1887162
L915,L06,1889216
L916,L07,189127
L917,L08,1893324
L918,L09,1895378
L919,L09,1897432
L920,L09,1899486
L921,L06,190154
L922,L07,1903594
L923,L08,1905648
L924,L09,1907702
L925,L09,1909756
L926,L06,191181
L927,L07,1913864
L928,L08,1915918
L929,L09,1917972
L930,L09,1920026
L931,L06,192208
L932,L07,1924134
L933,L08,1926188
L934,L09,1928242
L935,L09,1930296
L936,L06,193235
L937,L07,1934404
L938,L08,1936458
L939,L09,1938512
L940,L09,1940566
L941,L06,194262
L942,L07,1944674
L943,L08,1946728
L944,L09,1948782
L945,L09,1950836
L946,L06,195289
L947,L07,1954944
L948,L08,1956998
L949,L09,1959052
L950,L09,1961106
L951,L06,196316
L952,L07,1965214
L953,L08,1967268
L954,L09,1969322
L955,L09,1971376
L956,L06,197343
L957,L07,1975484
L958,L08,1977538
L959,L09,1979592
L960,L09,1981646
L961,L06,198370
L962,L07,1985754
L963,L08,1987808
L964,L09,1989862
L965,L09,1991916
L966,L06,199397
L967,L07,1996024
L968,L08,1998078
L969,L09,2000132
L970,L09,2002186
L971,L06,200424
L972,L07,2006294
L973,L08,2008348
L974,L09,2010402
L975,L09,2012456
L976,L06,201451
L977,L07,2016564
L978,L08,2018618
L979,L09,2020672
L980,L09,2022726
L981,L06,202478
L982,L07,2026834
L983,L08,2028888
L984,L09,2030942
L985,L09,2032996
L986,L06,203505
L987,L07,2037104
L988,L08,2039158
L989,L09,2041212
L990,L09,2043266
L991,L06,204532
L992,L07,2047374
L993,L08,2049428
L994,L09,2051482
L995,L09,2053536
L996,L06,205559
L997,L07,2057644
L998,L08,2059698
